ID;code;Perioden;TotaleOppervlakte_1;Woonterrein_7;TerreinVoorDetailhandelEnHoreca_8;TerreinVoorOpenbareVoorzieningen_9;TerreinVoorSociaalCultureleVoorz_10;TotaalAgrarischTerrein_25;IJsselmeerMarkermeer_33;TotaalBuitenwater_42
455;CR40;2015JJ00;241231;5583;250;409;429;98530;84763;
463;SG00;2015JJ00;;;;;;;;
471;SG01;2015JJ00;;;;;;;;
479;SG02;2015JJ00;;;;;;;;
487;SG03;2015JJ00;;;;;;;;
495;SG04;2015JJ00;;;;;;;;
503;SG05;2015JJ00;;;;;;;;
511;SG06;2015JJ00;;;;;;;;
519;SG07;2015JJ00;;;;;;;;
527;SG08;2015JJ00;;;;;;;;
535;SG09;2015JJ00;;;;;;;;
543;SG10;2015JJ00;;;;;;;;
551;SG11;2015JJ00;;;;;;;;
559;SG12;2015JJ00;;;;;;;;
567;SG13;2015JJ00;;;;;;;;
575;SG14;2015JJ00;;;;;;;;
583;SG15;2015JJ00;;;;;;;;
591;SG16;2015JJ00;;;;;;;;
599;SG17;2015JJ00;;;;;;;;
607;SG18;2015JJ00;;;;;;;;
615;SG19;2015JJ00;;;;;;;;
623;SG20;2015JJ00;;;;;;;;
631;SG21;2015JJ00;;;;;;;;
639;SG22;2015JJ00;;;;;;;;
647;GA00;2015JJ00;;;;;;;;
655;GA01;2015JJ00;;;;;;;;
663;GA02;2015JJ00;;;;;;;;
671;GA03;2015JJ00;;;;;;;;
679;GA04;2015JJ00;;;;;;;;
687;GA05;2015JJ00;;;;;;;;
695;GA06;2015JJ00;;;;;;;;
703;GA07;2015JJ00;;;;;;;;
711;GA08;2015JJ00;;;;;;;;
719;GA09;2015JJ00;;;;;;;;
727;GA10;2015JJ00;;;;;;;;
735;GA11;2015JJ00;;;;;;;;
743;GA12;2015JJ00;;;;;;;;
751;GA13;2015JJ00;;;;;;;;
759;GA14;2015JJ00;;;;;;;;
767;GA15;2015JJ00;;;;;;;;
775;GA16;2015JJ00;;;;;;;;
783;GA17;2015JJ00;;;;;;;;
791;GA18;2015JJ00;;;;;;;;
799;GA19;2015JJ00;;;;;;;;
807;GA20;2015JJ00;;;;;;;;
815;GA21;2015JJ00;;;;;;;;
823;GA22;2015JJ00;;;;;;;;
831;GM1680;2015JJ00;27888;751;13;18;79;18751;;
839;GM0738;2015JJ00;5317;231;6;9;4;4335;;
847;GM0358;2015JJ00;3229;455;30;17;21;799;;
855;GM0197;2015JJ00;9705;470;25;7;19;8063;;
863;GM0480;2015JJ00;;;;;;;;
871;GM0739;2015JJ00;;;;;;;;
879;GM0305;2015JJ00;;;;;;;;
887;GM0059;2015JJ00;10398;638;21;9;18;8554;;
895;GM0360;2015JJ00;;;;;;;;
903;GM0482;2015JJ00;1006;221;6;2;1;299;;
911;GM0613;2015JJ00;2376;323;10;17;49;1076;;
919;GM0483;2015JJ00;;;;;;;;
927;GM0361;2015JJ00;11735;1250;89;86;79;7829;;
935;GM0141;2015JJ00;6941;1121;72;32;89;3472;;
943;GM0034;2015JJ00;24877;2358;105;32;124;3241;10056;
951;GM0484;2015JJ00;13250;1142;53;37;82;9223;;
959;GM0741;2015JJ00;;;;;;;;
967;GM1723;2015JJ00;9352;180;9;91;0;6552;;
975;GM0142;2015JJ00;;;;;;;;
983;GM1679;2015JJ00;;;;;;;;
991;GM0060;2015JJ00;26850;123;6;9;2;1975;;20863
999;GM0306;2015JJ00;;;;;;;;
1007;GM0307;2015JJ00;6386;1782;93;142;207;1945;;
1015;GM0198;2015JJ00;;;;;;;;
1023;GM0362;2015JJ00;4408;949;49;16;62;1595;;
1031;GM0363;2015JJ00;21949;4492;473;197;380;2711;2291;
1039;GM0364;2015JJ00;;;;;;;;
1047;GM0199;2015JJ00;;;;;;;;
1055;GM0105;2015JJ00;;;;;;;;
1063;GM0366;2015JJ00;;;;;;;;
1071;GM0200;2015JJ00;34115;2420;129;230;309;8323;;
1079;GM0003;2015JJ00;2458;222;20;3;17;1783;;
1087;GM0885;2015JJ00;;;;;;;;
1095;GM0649;2015JJ00;;;;;;;;
1103;GM0202;2015JJ00;10154;1793;95;263;214;1593;;
1111;GM0106;2015JJ00;8345;1166;65;114;159;3874;;
1119;GM0743;2015JJ00;7134;300;12;5;13;4598;;
1127;GM0143;2015JJ00;;;;;;;;
1135;GM0650;2015JJ00;;;;;;;;
1143;GM0744;2015JJ00;7629;91;16;39;10;6273;;
1151;GM0308;2015JJ00;3301;399;15;37;94;762;;
1159;GM0745;2015JJ00;;;;;;;;
1167;GM0489;2015JJ00;2173;618;43;6;22;320;;
1175;GM0203;2015JJ00;17666;715;35;220;61;9566;;
1183;GM0144;2015JJ00;;;;;;;;
1191;GM0005;2015JJ00;4496;206;7;3;8;3896;;
1199;GM0888;2015JJ00;2103;338;9;4;0;1284;;
1207;GM0746;2015JJ00;;;;;;;;
1215;GM0370;2015JJ00;7207;125;10;30;6;6478;;
1223;GM0889;2015JJ00;2915;266;5;0;4;1814;;
1231;GM0107;2015JJ00;;;;;;;;
1239;GM0890;2015JJ00;;;;;;;;
1247;GM0007;2015JJ00;11009;299;2;3;11;9561;;
1255;GM0206;2015JJ00;;;;;;;;
1263;GM0372;2015JJ00;;;;;;;;
1271;GM0491;2015JJ00;;;;;;;;
1279;GM1724;2015JJ00;10175;483;4;2;5;6168;;
1287;GM0893;2015JJ00;10850;258;10;2;4;5572;;
1295;GM0373;2015JJ00;12023;638;30;8;77;4170;;2036
1303;GM0748;2015JJ00;9313;918;54;23;82;3312;;
1311;GM0749;2015JJ00;;;;;;;;
1319;GM0207;2015JJ00;;;;;;;;
1327;GM0492;2015JJ00;;;;;;;;
1335;GM0493;2015JJ00;;;;;;;;
1343;GM0751;2015JJ00;;;;;;;;
